Name;Sex;Equipment;Age;AgeClass;Division;Bodyweight;Weight_Class;Squat1;Squat2;Squat3;Best_Squat;Bench1;Bench2;Bench3;Best_Bench;Deadlift1;Deadlift2;Deadlift3;Best_Deadlift;Total_Kg;Place;Dots;Country
Simonyan Hasmik;M;Raw;14;13-15;Teen 13-15;47.8;48;0;0;0;0;0;0;0;0;40;50;60;60;60;1;77.66;Czechia
Bartlomiej Swirski;M;Raw;14;13-15;Teen 13-15;43.9;52;0;0;0;0;0;0;0;0;55;65;72.5;72.5;72.5;1;82.67;Poland
Patrik Cernoch;M;Unlimited;27;24-34;Open;112.3;125;0;0;0;0;-150;150;-175;150;0;0;0;0;150;3;88.16;Czechia
Kacper Dybciak;M;Raw;17;16-17;Teen 16-17;87;90;0;0;0;0;95;100;107.5;107.5;0;0;0;0;107.5;1;70.74;Poland
Mateusz Sosnowski;M;Raw;16;16-17;Teen 16-17;80.7;82.5;0;0;0;0;95;100;-105;100;0;0;0;0;100;2;68.60;Poland
Adrian Poreda;M;Raw;36;35-39;Open;91.9;100;0;0;0;0;140;150;-155;150;0;0;0;0;150;7;95.99;Poland
Artur Waniewski;M;Raw;37;35-39;Open;117.3;125;0;0;0;0;170;-180;180;180;0;0;0;0;180;4;104.17;Poland
Artur Waniewski;M;Raw;37;35-39;MPF;117.3;125;0;0;0;0;170;-180;180;180;0;0;0;0;180;3;104.17;Poland
Robrt Skirzynski;M;Raw;25;24-34;Open;89.4;90;0;0;0;0;-170;175;180;180;0;0;0;0;180;6;116.78;Poland
Robrt Skirzynski;M;Raw;25;24-34;MPF;89.4;90;0;0;0;0;-170;175;180;180;0;0;0;0;180;3;116.78;Poland
Robert Marciniak;M;Raw;52;50-54;Masters 50-59;136.6;140;0;0;0;0;120;140;145;145;0;0;0;0;145;1;80.02;Poland
Robert Marciniak;M;Unlimited;52;50-54;Open;136.6;140;0;0;0;0;0;0;0;0;190;210;0;210;210;1;115.89;Poland
Robert Marciniak;M;Raw;52;50-54;Masters 50-59;136.6;140;0;0;0;0;0;0;0;0;170;185;190;190;190;1;104.85;Poland
Tomasz Zowsik;M;Raw;43;40-44;Masters 40-49;142.2;140+;0;0;0;0;200;210;220;220;0;0;0;0;220;1;120.04;Poland
Marcin Mazurczyk;M;Raw;40;40-44;Masters 40-49;116.8;125;240;0;0;0;180;-190;-190;180;0;0;0;0;180;2;104.33;Poland
